               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.030684,           0.0086252,           0.0079129,             0.53079,             0.73809,             0.68269,             0.47826,            0.015537,           0.0042462,            0.013629,           0.0093268,           0.0093268,           0.0093268
                  36,            0.028698,           0.0082655,             0.01301,             0.53968,             0.73333,             0.64679,              0.4618,            0.015649,           0.0048158,            0.013235,            0.009307,            0.009307,            0.009307
                  37,            0.027258,           0.0072334,           0.0046969,             0.59897,             0.62913,             0.57454,             0.32695,            0.020573,           0.0071847,            0.013779,           0.0092872,           0.0092872,           0.0092872
                  38,            0.031513,            0.010249,           0.0077984,             0.71303,               0.475,             0.49712,             0.36909,            0.019818,           0.0093699,            0.013141,           0.0092674,           0.0092674,           0.0092674
                  39,            0.027965,           0.0092976,           0.0083007,             0.62775,             0.39167,             0.39128,             0.26976,            0.023219,           0.0098925,            0.015683,           0.0092476,           0.0092476,           0.0092476
                  40,            0.027828,           0.0082715,             0.01129,             0.65876,             0.36519,             0.39277,             0.23486,            0.028226,           0.0096788,            0.013104,           0.0092278,           0.0092278,           0.0092278
                  41,            0.031505,            0.010113,           0.0044158,             0.90006,             0.34167,             0.43165,             0.26382,            0.024779,            0.010584,            0.012167,            0.009208,            0.009208,            0.009208
                  42,            0.028273,           0.0081578,           0.0075238,             0.69767,             0.31667,             0.34487,              0.2201,            0.029615,             0.01118,            0.012476,           0.0091882,           0.0091882,           0.0091882
                  43,             0.02587,           0.0098235,           0.0062213,             0.55496,              0.4492,             0.40726,             0.26881,            0.024164,           0.0083139,            0.015335,           0.0091684,           0.0091684,           0.0091684
                  44,            0.029019,           0.0084231,           0.0044849,             0.53984,                 0.5,             0.46776,             0.27693,            0.022804,           0.0068424,            0.016574,           0.0091486,           0.0091486,           0.0091486
                  45,            0.027582,           0.0084315,           0.0051689,             0.50964,             0.49164,             0.46792,             0.29255,             0.02307,            0.006681,            0.017154,           0.0091288,           0.0091288,           0.0091288
                  46,            0.024917,           0.0085976,           0.0051365,             0.60552,             0.41667,             0.45283,             0.29816,             0.02112,           0.0070074,            0.017001,            0.009109,            0.009109,            0.009109
                  47,             0.02753,           0.0092711,           0.0041166,             0.57569,             0.55619,             0.52652,              0.3643,            0.020212,           0.0054672,            0.017242,           0.0090892,           0.0090892,           0.0090892
                  48,            0.034718,            0.010253,            0.008335,             0.57894,             0.73021,             0.63575,             0.43757,            0.019008,           0.0048723,            0.015524,           0.0090694,           0.0090694,           0.0090694
                  49,            0.027858,           0.0085592,           0.0041148,             0.55361,             0.71334,                0.61,             0.38351,            0.022384,           0.0048351,            0.014468,           0.0090496,           0.0090496,           0.0090496
                  50,            0.029018,           0.0085258,           0.0034464,             0.65381,             0.70833,             0.69383,             0.45894,            0.016722,             0.00471,            0.013358,           0.0090298,           0.0090298,           0.0090298
                  51,            0.027039,           0.0086411,           0.0058871,              0.7003,             0.71742,             0.72171,              0.4988,             0.01935,           0.0046895,            0.012161,             0.00901,             0.00901,             0.00901
                  52,            0.027201,           0.0082331,           0.0055529,             0.70394,             0.79296,             0.75451,             0.50794,            0.016051,           0.0042703,            0.010405,           0.0089902,           0.0089902,           0.0089902
                  53,            0.031455,            0.010178,           0.0046713,             0.69754,             0.79883,             0.79023,             0.55326,            0.016761,           0.0041621,            0.013565,           0.0089704,           0.0089704,           0.0089704
                  54,            0.027605,           0.0092558,           0.0050641,             0.77595,             0.86715,             0.78028,             0.56913,            0.015198,           0.0040135,           0.0090698,           0.0089506,           0.0089506,           0.0089506
                  55,            0.026543,           0.0076142,           0.0044538,             0.72397,             0.79167,             0.74807,             0.49775,            0.019442,           0.0045545,            0.010965,           0.0089308,           0.0089308,           0.0089308
                  56,             0.03005,           0.0087791,           0.0036446,             0.65545,             0.86835,             0.75665,              0.5093,            0.017955,           0.0045958,            0.011761,            0.008911,            0.008911,            0.008911
                  57,            0.029302,           0.0085726,           0.0056421,             0.64304,             0.89091,             0.76485,             0.50488,            0.019741,           0.0049884,               0.012,           0.0088912,           0.0088912,           0.0088912
                  58,            0.027636,           0.0090476,           0.0048042,             0.69796,             0.80224,             0.73928,                0.51,             0.01726,           0.0047896,            0.011926,           0.0088714,           0.0088714,           0.0088714
                  59,            0.024261,           0.0085151,            0.005084,             0.61992,             0.77058,             0.68707,             0.46398,            0.020003,           0.0042033,             0.01376,           0.0088516,           0.0088516,           0.0088516
                  60,            0.029418,           0.0091936,           0.0038114,              0.6988,             0.80174,              0.7295,             0.51325,            0.019027,           0.0041521,           0.0099228,           0.0088318,           0.0088318,           0.0088318
                  61,              0.0283,           0.0081828,            0.002372,             0.70014,             0.81667,             0.70585,             0.45197,            0.020339,           0.0040026,            0.010149,            0.008812,            0.008812,            0.008812
                  62,            0.027108,           0.0089731,           0.0047378,             0.77024,              0.8093,             0.70787,             0.51314,            0.016899,           0.0040178,            0.008353,           0.0087922,           0.0087922,           0.0087922
                  63,            0.026459,            0.007911,            0.003087,             0.76329,             0.75616,             0.72016,             0.53543,            0.016247,           0.0038342,           0.0091846,           0.0087724,           0.0087724,           0.0087724
                  64,            0.027332,           0.0082029,           0.0083366,             0.66414,             0.81667,             0.66079,              0.4424,            0.017421,           0.0036526,            0.010582,           0.0087526,           0.0087526,           0.0087526
                  65,            0.028964,           0.0084737,            0.004358,             0.68962,             0.77247,              0.6836,             0.47112,            0.019219,           0.0037427,            0.011054,           0.0087328,           0.0087328,           0.0087328
                  66,            0.027409,           0.0082995,           0.0035957,             0.62052,             0.84282,             0.72433,             0.54829,            0.016228,           0.0038798,            0.012955,            0.008713,            0.008713,            0.008713
                  67,            0.024337,           0.0097393,           0.0060967,             0.69773,             0.66765,             0.65635,             0.46892,            0.019706,           0.0041943,            0.017599,           0.0086932,           0.0086932,           0.0086932
                  68,            0.030238,           0.0071339,           0.0058523,             0.60895,             0.81037,             0.65913,             0.40054,            0.021577,           0.0044782,            0.021579,           0.0086734,           0.0086734,           0.0086734
                  69,            0.027881,           0.0087708,            0.003915,             0.57472,             0.80463,             0.67177,             0.46798,            0.017158,           0.0044329,            0.017767,           0.0086536,           0.0086536,           0.0086536
                  70,            0.028122,           0.0087128,           0.0054169,             0.66145,             0.66667,             0.66177,             0.45748,            0.017275,           0.0047987,            0.017517,           0.0086338,           0.0086338,           0.0086338
                  71,             0.02582,           0.0091971,           0.0072751,             0.72209,             0.69167,             0.66851,             0.47863,            0.016116,            0.004586,            0.014694,            0.008614,            0.008614,            0.008614
                  72,            0.027808,            0.009477,           0.0028409,             0.67055,              0.7687,             0.70251,             0.47234,            0.016848,           0.0043185,             0.01071,           0.0085942,           0.0085942,           0.0085942
                  73,            0.027436,           0.0084779,           0.0068104,              0.7734,             0.76899,                 0.7,              0.5252,            0.014959,            0.003881,            0.010219,           0.0085744,           0.0085744,           0.0085744
                  74,            0.025272,           0.0083962,           0.0028608,             0.77131,             0.74497,             0.72497,             0.50234,            0.018399,           0.0039515,            0.010794,           0.0085546,           0.0085546,           0.0085546
                  75,            0.025225,           0.0082085,           0.0038232,             0.76344,             0.73199,             0.71596,             0.47355,            0.018681,           0.0044448,           0.0089531,           0.0085348,           0.0085348,           0.0085348
                  76,            0.029045,           0.0084425,           0.0043782,             0.76316,             0.74738,             0.78971,             0.58237,            0.015633,           0.0044229,           0.0084259,            0.008515,            0.008515,            0.008515
                  77,            0.025433,           0.0092223,           0.0046139,             0.75529,             0.76667,             0.76877,             0.53551,            0.015759,           0.0040934,            0.007255,           0.0084952,           0.0084952,           0.0084952
                  78,            0.023484,           0.0077571,           0.0033901,             0.74936,              0.7845,              0.7352,             0.49777,            0.016409,           0.0042565,           0.0077072,           0.0084754,           0.0084754,           0.0084754
                  79,            0.023217,           0.0084258,            0.003684,              0.6109,             0.87034,               0.703,             0.47302,            0.017225,           0.0041187,           0.0093987,           0.0084556,           0.0084556,           0.0084556
                  80,            0.025809,           0.0083041,           0.0048485,             0.85941,             0.79526,             0.82741,             0.55278,            0.018813,           0.0042334,           0.0067757,           0.0084358,           0.0084358,           0.0084358
                  81,            0.029177,            0.008446,           0.0031144,             0.83752,             0.76667,             0.80533,             0.57619,            0.016023,           0.0043576,             0.00783,            0.008416,            0.008416,            0.008416
                  82,            0.025288,           0.0076228,           0.0050794,             0.65048,             0.49167,             0.57956,             0.37751,            0.018912,           0.0060809,            0.016913,           0.0083962,           0.0083962,           0.0083962
                  83,            0.027124,           0.0095225,           0.0059486,             0.59342,             0.35563,              0.4535,             0.26991,            0.020926,           0.0076792,            0.016425,           0.0083764,           0.0083764,           0.0083764
                  84,            0.027968,           0.0084727,           0.0068121,             0.56835,             0.63769,             0.61851,             0.37625,              0.0186,           0.0056543,            0.017328,           0.0083566,           0.0083566,           0.0083566
                  85,            0.028513,           0.0087479,           0.0030076,             0.70678,               0.575,              0.6525,               0.387,            0.020019,           0.0047328,            0.017236,           0.0083368,           0.0083368,           0.0083368
                  86,             0.02507,           0.0082506,           0.0021258,             0.54866,              0.7413,             0.71396,             0.50729,            0.015554,           0.0041921,            0.014877,            0.008317,            0.008317,            0.008317
                  87,             0.02359,           0.0091537,           0.0033882,             0.61519,             0.87147,              0.6983,             0.38074,            0.018402,           0.0034521,            0.010866,           0.0082972,           0.0082972,           0.0082972
                  88,            0.030445,           0.0072833,           0.0042816,             0.62254,              0.7801,             0.66437,             0.42967,            0.016248,           0.0035338,            0.013156,           0.0082774,           0.0082774,           0.0082774
                  89,             0.02511,           0.0088854,           0.0051953,             0.71188,             0.74601,             0.73149,             0.48828,             0.01803,           0.0037789,            0.013657,           0.0082576,           0.0082576,           0.0082576
                  90,            0.023905,           0.0072578,           0.0036928,             0.70501,             0.73333,             0.72526,             0.54334,            0.013747,           0.0039673,            0.014227,           0.0082378,           0.0082378,           0.0082378
                  91,            0.029024,           0.0081926,           0.0055733,             0.67656,             0.75191,             0.72802,             0.46918,            0.019204,           0.0043151,            0.013046,            0.008218,            0.008218,            0.008218
